"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"2019-10-14T10:01:05.703Z",53268,"-171.6859",26,"3.6","ml",,,,"0.66","ak","ak019d6t75wn","2019-10-14T19:29:27.477Z","91km NNW of Amukta Island, Alaska","earthquake",,"1.5",,,"reviewed","ak","ak"
"2019-10-14T09:00:16.690Z","18.1166","-67.4811",19,"2.63","md",11,251,"0.2678","0.38","pr","pr2019287009","2019-10-14T09:14:05.522Z","31km W of Puerto Real, Puerto Rico","earthquake","1.84","2.33","0.54",11,"reviewed","pr","pr"
"2019-10-14T08:04:19.140Z","19.2676","-67.3228",16,"3.05","md",8,305,"0.8969","0.28","pr","pr2019287010","2019-10-14T12:13:02.401Z","89km NNW of San Antonio, Puerto Rico","earthquake","8.23","16.87","0.24",7,"reviewed","pr","pr"
"2019-10-14T07:49:07.344Z",36563,"70.8372","205.94","4.5","mb",,79,1168,"0.43","us","us70005u1l","2019-10-14T08:12:59.040Z","33km S of Jarm, Afghanistan","earthquake","6.4","9.4",156,12,"reviewed","us","us"
"2019-10-14T06:51:17.620Z","39.6591682","-121.8931656","31.88","2.74","md",14,128,"0.2162","0.06","nc","nc73291455","2019-10-14T16:51:35.179Z","8km W of Durham, CA","earthquake","0.51","1.85","0.18",14,"automatic","nc","nc"
"2019-10-14T06:18:06.080Z","19.2388",-67242,32,"3.19","md",13,294,"0.8867","0.33","pr","pr2019287007","2019-10-14T09:28:27.040Z","86km N of San Antonio, Puerto Rico","earthquake","1.95","14.78","0.25",13,"reviewed","pr","pr"
"2019-10-14T05:35:32.460Z","18.7631",-67441,15,"2.55","md",10,287,"0.3806","0.31","pr","pr2019287006","2019-10-14T06:52:04.156Z","46km NW of San Antonio, Puerto Rico","earthquake","2.85","4.31","0.34",10,"reviewed","pr","pr"
"2019-10-14T05:28:32.249Z","-25.4707","179.3451","520.86","4.5","mb",,75,4473,"0.95","us","us70005u0n","2019-10-14T05:49:28.040Z","South of the Fiji Islands","earthquake","12.2","7.9",69,62,"reviewed","us","us"
"2019-10-14T05:07:22.670Z","19.0993","-67.1461",43,"3.39","md",18,283,"0.7886","0.29","pr","pr2019287005","2019-10-14T06:19:31.040Z","69km N of Isabela, Puerto Rico","earthquake","1.77","6.27","0.28",12,"reviewed","pr","pr"
"2019-10-14T04:57:27.140Z","35.5593333","-117.3346667","2.19","2.88","ml",36,68,"0.04207","0.17","ci","ci39130896","2019-10-14T05:12:40.720Z","23km S of Trona, CA","earthquake","0.24","0.34",131,25,"automatic","ci","ci"
"2019-10-14T03:55:30.350Z","33.3196667",-116421,"7.21","2.99","ml",125,19,"0.04564","0.2","ci","ci39130776","2019-10-14T16:22:52.416Z","8km NNW of Borrego Springs, CA","earthquake","0.11","0.34",166,124,"reviewed","ci","ci"
"2019-10-14T03:29:20.300Z","55.9881","-156.2515","41.7",4,"ml",,,,"0.5","ak","ak019d6p75v4","2019-10-14T04:00:37.040Z","43km WNW of Chirikof Island, Alaska","earthquake",,"1.4",,,"reviewed","ak","ak"
"2019-10-14T03:20:24.540Z","19.2743","-67.5001",53,"3.11","md",13,307,"0.8901","0.36","pr","pr2019287000","2019-10-14T03:45:51.040Z","83km NNW of San Antonio, Puerto Rico","earthquake","3.32","8.92","0.44",13,"reviewed","pr","pr"
"2019-10-14T01:58:23.230Z","19.1341","-67.0973",52,"2.93","md",10,231,859,"0.55","pr","pr2019287004","2019-10-14T05:52:18.425Z","70km N of Isabela, Puerto Rico","earthquake","4.32","12.74","0.3",10,"reviewed","pr","pr"
"2019-10-14T01:44:13.651Z","-31.9512","179.8611","325.22","4.2","mb",,92,3302,"1.09","us","us70005tzr","2019-10-14T22:32:55.040Z","130km WSW of L'Esperance Rock, New Zealand","earthquake","11.4","8.3",118,20,"reviewed","us","us"
"2019-10-14T01:40:25.330Z","36.4466667","-89.8005","5.82","2.54","md",55,54,"0.05917","0.13","nm","nm60290201","2019-10-14T22:24:02.040Z","9km WNW of Portageville, Missouri","earthquake","0.15","0.61",157,42,"reviewed","nm","nm"
"2019-10-14T01:38:53.590Z","19.1148","-67.1525",32,"2.73","md",8,318,"0.8654","0.37","pr","pr2019287003","2019-10-14T05:52:05.945Z","69km N of Isabela, Puerto Rico","earthquake","2.85","22.04","0.07",7,"reviewed","pr","pr"
"2019-10-14T01:25:28.610Z","37.2593346","-121.5096664","7.97","2.56","md",76,59,"0.09121","0.11","nc","nc73291345","2019-10-14T14:59:48.056Z","19km NE of Morgan Hill, CA","earthquake","0.17","0.48","0.12",86,"automatic","nc","nc"
"2019-10-14T01:11:29.135Z","36.5254","70.6014","203.47",5,"mww",,26,1312,"0.83","us","us70005tzl","2019-10-14T22:20:13.040Z","43km SSW of Jarm, Afghanistan","earthquake","6.3","4.7",68,21,"reviewed","us","us"
"2019-10-14T00:58:01.450Z","19.1533","-67.1376",23,"2.76","md",4,320,"0.8932","0.13","pr","pr2019287001","2019-10-14T05:51:49.330Z","73km N of Isabela, Puerto Rico","earthquake","1.26","13.68","0.09",4,"reviewed","pr","pr"
"2019-10-13T23:32:07.260Z","37.2589989","-121.5106659","7.8","2.87","md",79,61,"0.09137","0.14","nc","nc73291290","2019-10-14T17:28:55.325Z","19km NE of Morgan Hill, CA","earthquake","0.19","0.56","0.13",101,"automatic","nc","nc"
"2019-10-13T22:48:02.857Z","60.8797","-150.7547","35.3","2.5","ml",,,,"0.57","ak","ak019d5d334c","2019-10-13T22:52:26.854Z","35km NE of Nikiski, Alaska","earthquake",,"5.6",,,"automatic","ak","ak"
"2019-10-13T22:16:44.190Z","19.0915","-67.0846",20,"2.94","md",9,314,"0.8149","0.33","pr","pr2019286020","2019-10-13T23:34:50.761Z","65km N of Isabela, Puerto Rico","earthquake","2.57","28.55","0.25",9,"reviewed","pr","pr"
"2019-10-13T21:57:35.736Z","-30.2506",-178011,35,"5.2","mb",,65,1004,"0.99","us","us70005ty8","2019-10-13T22:47:18.040Z","109km S of Raoul Island, New Zealand","earthquake","9.5","1.9","0.04",210,"reviewed","us","us"
"2019-10-13T20:25:58.220Z","19.2101","-67.4185",39,"2.85","md",15,300,"0.8279","0.41","pr","pr2019286017","2019-10-13T20:53:17.040Z","83km NNW of San Antonio, Puerto Rico","earthquake","3.05","13.98","0.41",14,"reviewed","pr","pr"
"2019-10-13T20:02:43.041Z","-20.6104","-178.7873","612.93","4.6","mb",,139,4128,"1.13","us","us70005tx5","2019-10-13T20:20:22.040Z","10km WNW of Ndoi Island, Fiji","earthquake","11.4","10.6",85,41,"reviewed","us","us"
"2019-10-13T20:01:19.960Z","18.7605",-65171,26,"3.11","md",11,333,"1.0181","0.27","pr","pr2019286019","2019-10-13T23:34:41.361Z","52km NNW of Charlotte Amalie, U.S. Virgin Islands","earthquake","3.17","18.8","0.41",9,"reviewed","pr","pr"
"2019-10-13T19:46:50.319Z","-26.3866","179.7654","498.82","4.4","mb",,156,3503,"0.93","us","us70005txc","2019-10-13T21:03:14.040Z","South of the Fiji Islands","earthquake",19,"16.6",115,22,"reviewed","us","us"
"2019-10-13T19:35:16.431Z","-0.1762","124.81","74.63",5,"mww",,50,2212,"1.2","us","us70005twu","2019-10-13T19:48:44.040Z","106km SSE of Lolayan, Indonesia","earthquake","7.4","7.8",73,18,"reviewed","us","us"
"2019-10-13T19:12:12.210Z","19.1323","-67.1931",29,"3.09","md",5,335,"0.9","0.46","pr","pr2019286018","2019-10-13T23:34:30.794Z","71km N of San Antonio, Puerto Rico","earthquake","5.04","34.48","0.08",2,"reviewed","pr","pr"
"2019-10-13T18:38:32.851Z","58.8958",-152391,"30.6",3,"ml",,,,"0.62","ak","ak019d5an9v1","2019-10-13T20:59:39.341Z","96km SSW of Homer, Alaska","earthquake",,"0.6",,,"automatic","ak","ak"
"2019-10-13T17:41:19.613Z","32.9556","73.56",10,"3.3","mb",,184,734,"1.18","us","us70005twq","2019-10-14T22:06:41.767Z","15km W of Jhelum, Pakistan","earthquake","8.1",2,344,2,"reviewed","us","us"
"2019-10-13T17:36:37.660Z","39.2441667","-111.4696667","2.8","2.58","ml",33,45,"0.09256","0.18","uu","uu60345237","2019-10-14T13:15:58.701Z","16km ESE of Manti, Utah","earthquake","0.31","1.04",105,15,"reviewed","uu","uu"
"2019-10-13T15:48:38.890Z","35.6061667",-117412,"4.51","3.07","ml",48,27,"0.04538","0.12","ci","ci39129768","2019-10-14T16:37:49.456Z","18km S of Trona, CA","earthquake","0.11","0.25",134,120,"reviewed","ci","ci"
"2019-10-13T14:29:41.230Z","19.1908","-67.1766",35,"3.14","md",11,234,"0.8612","0.49","pr","pr2019286015","2019-10-13T17:38:09.858Z","77km N of San Antonio, Puerto Rico","earthquake","3.13","18.56","0.29",7,"reviewed","pr","pr"
"2019-10-13T13:51:33.870Z",18248,"-68.5295",137,"2.95","md",20,180,"1.0591","0.59","pr","pr2019286011","2019-10-13T14:30:06.660Z","16km SSE of Boca de Yuma, Dominican Republic","earthquake","3.43","1.8","0.38",15,"reviewed","pr","pr"
"2019-10-13T12:36:26.662Z","52.3157","-170.2197",35,4,"mb",,191,545,"1.53","us","us70005tvl","2019-10-13T22:42:03.447Z","47km SE of Yunaska Island, Alaska","earthquake",9,2,73,51,"reviewed","us","us"
